time (s), ch0 acceleration (g)
0.298106,-0.002843
0.299103,-0.002983
0.300100,-0.003906
0.301097,-0.004614
0.302094,-0.005343
0.303091,-0.006104
0.304088,-0.008504
0.305085,-0.009416
0.306082,-0.011306
0.307079,-0.013235
0.308076,-0.014424
0.309073,-0.014744
0.310070,-0.016488
0.311067,-0.018579
0.312064,-0.019579
0.313061,-0.020137
0.314058,-0.021280
0.315055,-0.019348
0.316052,-0.020512
0.317049,-0.022765
0.318046,-0.022750
0.319043,-0.022330
0.320040,-0.022063
0.321037,-0.021990
0.322034,-0.021375
0.323031,-0.021952
0.324028,-0.020740
0.325025,-0.020822
0.326022,-0.021842
0.327019,-0.021668
0.328016,-0.021850
0.329013,-0.022587
0.330010,-0.023042
0.331007,-0.023267
0.332004,-0.024502
0.333001,-0.024815
0.333998,-0.025931
0.334995,-0.027026
0.335992,-0.027873
0.336989,-0.028817
0.337986,-0.029544
0.338983,-0.029789
0.339980,-0.030016
0.340977,-0.030202
0.341974,-0.029967
0.342971,-0.029517
0.343968,-0.028690
0.344965,-0.027360
0.345962,-0.025669
0.346959,-0.023821
0.347956,-0.021825
0.348953,-0.019643
0.349950,-0.017419
0.350947,-0.015289
0.351944,-0.013226
0.352941,-0.011351
0.353938,-0.009577
0.354935,-0.008042
0.355932,-0.006830
0.356929,-0.005996
0.357926,-0.005435
0.358923,-0.005414
0.359920,-0.005604
0.360917,-0.006219
0.361914,-0.006857
0.362911,-0.007842
0.363908,-0.008609
0.364905,-0.009810
0.365902,-0.010773
0.366899,-0.012402
0.367896,-0.013620
0.368893,-0.016010
0.369890,-0.017327
0.370887,-0.020475
0.371884,-0.020946
0.372881,-0.026711
0.373878,-0.014698
0.374875,0.094585
0.375872,-0.058565
0.376869,-0.153327
0.377866,-0.168784
0.378863,-0.155336
0.379860,-0.128915
0.380857,-0.093035
0.381854,-0.039060
0.382851,0.023309
0.383848,0.085762
0.384845,0.131001
0.385842,0.149764
0.386839,0.135402
0.387836,0.102163
0.388833,0.059295
0.389831,0.012608
0.390828,-0.033697
0.391825,-0.074638
0.392822,-0.108600
0.393819,-0.132978
0.394816,-0.146692
0.395813,-0.150411
0.396810,-0.146245
0.397807,-0.135340
0.398804,-0.119775
0.399801,-0.100673
0.400798,-0.079427
0.401795,-0.057417
0.402792,-0.035401
0.403789,-0.013794
0.404786,0.006240
0.405783,0.023771
0.406780,0.038146
0.407777,0.049017
0.408774,0.056170
0.409771,0.059585
0.410768,0.059581
0.411765,0.056664
0.412762,0.051541
0.413759,0.044929
0.414756,0.037271
0.415753,0.028844
0.416750,0.020036
0.417747,0.011285
0.418744,0.003207
0.419741,-0.003847
0.420738,-0.009729
0.421735,-0.014665
0.422732,-0.018847
0.423729,-0.022296
0.424726,-0.025048
0.425723,-0.026804
0.426720,-0.027915
0.427717,-0.028419
0.428714,-0.028342
0.429711,-0.027435
0.430708,-0.025819
0.431705,-0.023433
0.432702,-0.020783
0.433699,-0.017270
0.434696,-0.013394
0.435693,-0.007459
0.436690,0.008171
0.437687,0.042107
0.438684,0.072567
0.439681,0.081389
0.440678,0.069872
0.441675,0.056558
0.442672,0.045599
0.443669,0.027552
0.444666,0.004323
0.445663,-0.018015
0.446660,-0.035375
0.447657,-0.050551
0.448654,-0.062001
0.449651,-0.068895
0.450648,-0.071072
0.451645,-0.069764
0.452642,-0.066368
0.453639,-0.060929
0.454636,-0.053636
0.455633,-0.045200
0.456630,-0.035856
0.457627,-0.026456
0.458624,-0.017396
0.459621,-0.008896
0.460618,-0.001247
0.461615,0.005074
0.462612,0.009871
0.463609,0.013282
0.464606,0.015208
0.465603,0.015918
0.466600,0.015499
0.467597,0.014178
0.468594,0.012073
0.469591,0.009470
0.470588,0.006454
0.471585,0.003371
0.472582,0.000340
0.473579,-0.002462
0.474576,-0.005006
0.475573,-0.007062
0.476570,-0.008678
0.477567,-0.009744
0.478564,-0.010398
0.479561,-0.010758
0.480558,-0.010738
0.481555,-0.010531
0.482552,-0.010051
0.483549,-0.009377
0.484546,-0.008421
0.485543,-0.007302
0.486540,-0.006141
0.487537,-0.004991
0.488534,-0.003761
0.489531,-0.002561
0.490528,-0.001199
0.491525,0.000225
0.492522,0.001716
0.493519,0.003162
0.494516,0.004413
0.495513,0.005489
0.496510,0.006406
0.497507,0.007110
0.498504,0.007538
0.499501,0.007785
0.500499,0.007921
0.501496,0.007903
0.502493,0.007688
0.503490,0.007288
0.504487,0.006578
0.505484,0.005602
0.506481,0.004291
0.507478,0.002498
0.508475,0.000373
0.509472,-0.002225
0.510469,-0.004631
0.511466,-0.007273
0.512463,-0.010224
0.513460,-0.013154
0.514457,-0.016477
0.515454,-0.018940
0.516451,-0.021874
0.517448,-0.024547
0.518445,-0.026303
0.519442,-0.027561
0.520439,-0.027702
0.521436,-0.027755
0.522433,-0.026724
0.523430,-0.024215
0.524427,-0.021613
0.525424,-0.019016
0.526421,-0.015021
0.527418,-0.011321
0.528415,-0.008437
0.529412,-0.004729
0.530409,-0.001249
0.531406,0.000685
0.532403,0.003161
0.533400,0.004329
0.534397,0.004902
0.535394,0.004998
0.536391,0.004191
0.537388,0.002970
0.538385,0.001675
0.539382,0.000119
0.540379,-0.001711
0.541376,-0.003528
0.542373,-0.005574
0.543370,-0.007367
0.544367,-0.008916
0.545364,-0.010036
0.546361,-0.010654
0.547358,-0.010762
0.548355,-0.010396
0.549352,-0.009586
0.550349,-0.008420
0.551346,-0.007020
0.552343,-0.005509
0.553340,-0.003813
0.554337,-0.002150
0.555334,-0.000807
0.556331,0.000415
0.557328,0.001475
0.558325,0.002187
0.559322,0.002418
0.560319,0.002520
0.561316,0.002331
0.562313,0.001934
0.563310,0.001479
0.564307,0.001075
0.565304,0.000813
0.566301,0.000682
0.567298,0.000781
0.568295,0.001089
0.569292,0.001526
0.570289,0.002221
0.571286,0.003078
0.572283,0.004004
0.573280,0.004901
0.574277,0.005789
0.575274,0.006655
0.576271,0.007495
0.577268,0.008254
0.578265,0.009009
0.579262,0.009670
0.580259,0.010231
0.581256,0.010723
0.582253,0.011170
0.583250,0.011363
0.584247,0.011237
0.585244,0.010793
0.586241,0.010131
0.587238,0.009366
0.588235,0.008697
0.589232,0.008229
0.590229,0.007940
0.591226,0.007771
0.592223,0.007631
0.593220,0.007444
0.594217,0.007165
0.595214,0.006806
0.596211,0.006418
0.597208,0.006063
0.598205,0.005659
0.599202,0.005267
0.600199,0.004762
0.601196,0.004069
0.602193,0.003151
0.603190,0.002043
0.604187,0.000753
0.605184,-0.000690
0.606181,-0.002053
0.607178,-0.003392
0.608175,-0.004479
0.609172,-0.005485
0.610169,-0.006267
0.611167,-0.006843
0.612164,-0.007181
0.613161,-0.007375
0.614158,-0.007295
0.615155,-0.007289
0.616152,-0.007107
0.617149,-0.007064
0.618146,-0.006767
0.619143,-0.006792
0.620140,-0.006294
0.621137,-0.006042
0.622134,-0.005007
0.623131,-0.004396
0.624128,-0.002811
0.625125,-0.002157
0.626122,-0.000458
0.627119,-0.000333
0.628116,0.001324
0.629113,0.000845
0.630110,0.002482
0.631107,0.000920
0.632104,0.002991
0.633101,-0.000407
0.634098,0.002126
0.635095,-0.005613
0.636092,0.013896
0.637089,0.011993
0.638086,-0.052407
0.639083,-0.087417
0.640080,-0.108559
0.641077,-0.093172
0.642074,-0.066728
0.643071,-0.031236
0.644068,0.001788
0.645065,0.033549
0.646062,0.058192
0.647059,0.077364
0.648056,0.086674
0.649053,0.086319
0.650050,0.075021
0.651047,0.056809
0.652044,0.033906
0.653041,0.010505
0.654038,-0.011459
0.655035,-0.030702
0.656032,-0.045828
0.657029,-0.055082
0.658026,-0.059426
0.659023,-0.059412
0.660020,-0.056391
0.661017,-0.050578
0.662014,-0.042944
0.663011,-0.033554
0.664008,-0.023508
0.665005,-0.013324
0.666002,-0.003619
0.666999,0.004949
0.667996,0.012388
0.668993,0.018459
0.669990,0.022840
0.670987,0.025780
0.671984,0.026846
0.672981,0.025840
0.673978,0.023661
0.674975,0.020682
0.675972,0.017170
0.676969,0.013399
0.677966,0.009424
0.678963,0.005410
0.679960,0.001587
0.680957,-0.001871
0.681954,-0.004847
0.682951,-0.006880
0.683948,-0.008475
0.684945,-0.009393
0.685942,-0.010692
0.686939,-0.012654
0.687936,-0.014103
0.688933,-0.015622
0.689930,-0.017365
0.690927,-0.018989
0.691924,-0.019725
0.692921,-0.020535
0.693918,-0.020183
0.694915,-0.019112
0.695912,-0.017604
0.696909,-0.015545
0.697906,-0.013172
0.698903,-0.010628
0.699900,-0.007833
0.700897,-0.005320
0.701894,-0.003062
0.702891,-0.000980
0.703888,0.000661
0.704885,0.001736
0.705882,0.002101
0.706879,0.001527
0.707876,0.000083
0.708873,-0.002239
0.709870,-0.005127
0.710867,-0.008398
0.711864,-0.011799
0.712861,-0.015277
0.713858,-0.018459
0.714855,-0.021185
0.715852,-0.023590
0.716849,-0.024662
0.717846,-0.023546
0.718843,-0.021678
0.719840,-0.020305
0.720837,-0.020630
0.721834,-0.021246
0.722832,-0.022585
0.723829,-0.024120
0.724826,-0.026859
0.725823,-0.034675
