time (s), ch0 acceleration (g), ch1 acceleration (g)
0.196411,1.186589,0.345078
0.197408,-0.000435,0.000457
0.198405,1.301758,1.339619
0.199402,0.000422,0.000710
0.200399,0.227360,1.115116
0.201396,-0.000168,0.000067
0.202393,-1.070406,-0.133935
0.203390,-0.000816,-0.000487
0.204387,-1.368032,-1.271332
0.205384,-0.000087,0.000177
0.206381,-0.425557,-1.222524
0.207378,-0.000328,0.000383
0.208375,0.896375,-0.077974
0.209372,-0.000564,0.000506
0.210369,1.412308,1.141151
0.211366,0.000422,0.000358
0.212363,0.638967,1.327809
0.213360,0.000237,0.000235
0.214357,-0.732844,0.300517
0.215354,-0.000909,-0.000310
0.216351,-1.425353,-1.017300
0.217348,0.000228,0.000001
0.218345,-0.807672,-1.385188
0.219342,-0.000348,0.000070
0.220339,-0.494944,-0.000211
0.221336,0.000665,-0.372927
0.222333,0.835002,0.000070
0.223330,0.000540,-1.358272
0.224327,1.415772,-0.000272
0.225324,0.000178,-1.081659
0.226321,0.703908,-0.000411
0.227318,0.000069,0.159893
0.228315,-0.664152,0.000275
0.229312,-0.000642,1.265130
0.230309,-1.416780,0.000469
0.231306,0.000178,1.220176
0.232303,-0.863223,0.000203
0.233300,0.000197,0.057482
0.234297,0.456347,-0.000120
0.235294,0.000841,-1.171573
0.236291,1.372913,-0.000191
0.237288,-0.000082,-1.306091
0.238285,1.038265,0.000101
0.239282,-0.000451,-0.262077
0.240279,-0.251487,-0.000010
0.241276,-0.000107,1.017585
0.242273,-1.317737,-0.000082
0.243270,-0.000340,1.377801
0.244267,-1.156816,0.000180
0.245264,-0.000152,0.479301
0.246261,0.037235,-0.000165
0.247258,-0.000545,-0.873622
0.248255,1.202854,0.000131
0.249252,-0.000140,-1.413134
0.250249,1.276959,-0.000231
0.251246,0.000333,-0.659468
0.252243,0.182396,0.000336
0.253240,0.000092,0.679733
0.254237,-1.093652,0.000061
0.255234,-0.000235,1.413361
0.256231,-1.346703,-0.000196
0.257228,-0.000197,0.857730
0.258225,-0.380664,-0.000154
0.259222,0.000072,-0.492288
0.260219,0.925890,-0.000469
0.261216,-0.000371,-1.392508
0.262213,1.398897,-0.000209
0.263210,0.000108,-1.002866
0.264207,0.593381,-0.000217
0.265204,-0.000244,0.278937
0.266201,-0.769058,-0.000014
0.267198,-0.000197,1.317392
0.268195,-1.416879,-0.000463
0.269192,0.000161,1.157445
0.270189,-0.763317,-0.000048
0.271186,0.000234,-0.065182
0.272183,0.567960,0.000560
0.273180,0.000033,-1.241654
0.274177,1.395228,0.000060
0.275174,0.000004,-1.259597
0.276171,0.949698,-0.000140
0.277168,-0.145708,-0.417063
0.278166,0.000566,0.000721
0.279163,1.101362,-1.377716
0.280160,0.000194,0.000042
0.281157,1.351906,-1.059371
0.282154,0.000344,0.000234
0.283151,0.367659,0.202531
0.284148,0.000164,0.000182
0.285145,-0.968486,1.289192
0.286142,-0.000143,0.000003
0.287139,-1.400651,1.204200
0.288136,-0.000040,-0.000334
0.289133,-0.556220,0.015666
0.290130,-0.000042,0.000799
0.291127,0.781299,-1.200031
0.292124,0.000406,-0.000352
0.293121,1.418591,-1.293954
0.294118,-0.000012,0.000163
0.295115,0.762077,-0.222339
0.296112,-0.000202,-0.000374
0.297109,-0.603397,1.050876
0.298106,0.000503,0.000470
0.299103,-1.412638,1.375003
0.300100,-0.000474,-0.000028
0.301097,-0.916819,0.443022
0.302094,-0.000098,0.000070
0.303091,0.392194,-0.909564
0.304088,-0.000174,0.000240
0.305085,1.355420,-1.414562
0.306082,-0.000082,0.000019
0.307079,1.085526,-0.627828
0.308076,0.000101,0.000167
0.309073,-0.181174,0.715603
0.310070,-0.000393,0.000384
0.311067,-1.290953,1.419451
0.312064,-0.000487,0.000574
0.313061,-1.197072,0.828782
0.314058,0.000559,0.000039
0.315055,-0.032263,-0.529186
0.316052,-0.000335,-0.000243
0.317049,1.165951,-1.400985
0.318046,-0.000557,0.000292
0.319043,1.308243,-0.974816
0.320040,0.000125,-0.000322
0.321037,0.254051,0.318535
0.322034,0.000505,0.000655
0.323031,-1.048651,1.332085
0.324028,-0.000261,0.000330
0.325025,-1.371800,1.133398
0.326022,-0.000012,0.000550
0.327019,-0.449831,-0.105288
0.328016,-0.000027,0.000308
0.329013,0.873622,-1.259062
0.330010,-0.000337,0.000562
0.331007,1.412486,-1.237637
0.332004,0.000207,0.000641
0.333001,0.662018,-0.106173
0.333998,0.000374,0.000254
0.334995,-0.706915,1.123781
0.335992,0.000663,-0.000262
0.336989,-1.420422,1.337191
0.337986,0.000313,0.000148
0.338983,-0.825885,0.328406
0.339980,0.000383,-0.000092
0.340977,0.501194,-0.996367
0.341974,0.000075,0.000391
0.342971,1.384280,-1.389729
0.343968,0.000336,0.000497
0.344965,1.005869,-0.517461
0.345962,0.000273,0.000090
0.346959,-0.299625,0.815387
0.347956,-0.000181,0.000138
0.348953,-1.336664,1.417495
0.349950,0.000276,0.000273
0.350947,-1.129531,0.725322
0.351944,0.000418,0.000319
0.352941,0.085876,-0.643139
0.353938,0.000167,0.000278
0.354935,1.230590,-1.416946
0.355932,-0.000391,0.000490
0.356929,1.257647,-0.883127
0.357926,-0.000449,0.000326
0.358923,0.133348,0.434031
0.359920,0.000220,0.000223
0.360917,-1.127211,1.368409
0.361914,-0.000238,0.000731
0.362911,-1.334720,1.057082
0.363908,0.000343,0.000077
0.364905,-0.335369,-0.226679
0.365902,0.000155,0.000624
0.366899,0.966016,-1.311373
0.367896,0.000073,0.001027
0.368893,1.397454,-1.173840
0.369890,0.000434,0.000994
0.370887,0.552627,0.013644
0.371884,-0.000168,-0.000055
0.372881,-0.812734,1.194390
0.373878,0.000195,0.000352
0.374875,-1.423649,1.292065
0.375872,-0.000155,0.000341
0.376869,-0.729472,0.207694
0.377866,-0.000053,0.000231
0.378863,0.612613,-1.082178
0.379860,0.000184,0.000284
0.380857,1.410179,-1.360578
0.381854,-0.000110,0.000688
0.382851,0.922422,-0.405827
0.383848,-0.000351,0.000550
0.384845,0.911954,0.000370
0.385842,0.000700,-1.212127
0.386839,1.410681,0.000385
0.387836,-0.000256,-0.061367
0.388833,0.621246,0.000532
0.389831,0.000133,1.148506
0.390828,-0.750049,0.000653
0.391825,0.000102,1.317369
0.392822,-1.425345,0.000593
0.393819,-0.000284,0.280651
0.394816,-0.790075,0.000589
0.395813,0.000354,-1.027703
0.396810,0.546521,0.000288
0.397807,0.000202,-1.374990
0.398804,1.398512,0.000858
0.399801,0.000394,-0.472485
0.400798,0.975015,0.000695
0.401795,0.000495,0.850511
0.402792,-0.347519,0.000138
0.403789,0.000596,1.409853
0.404786,-1.355887,0.000471
0.405783,0.000667,0.683213
0.406780,-1.103611,0.000550
0.407777,0.000616,-0.680779
0.408774,0.133395,0.000663
0.409771,-0.000067,-1.414637
0.410768,1.258106,0.000326
0.411765,0.000572,-0.844462
0.412762,1.239990,0.000088
0.413759,-0.000599,0.475510
0.414756,0.086979,0.000326
0.415753,0.000011,1.375706
0.416750,-1.159655,0.000653
0.417747,-0.000044,1.022177
0.418744,-1.323563,0.000061
0.419741,0.000306,-0.272170
0.420738,-0.292507,0.000892
0.421735,0.000090,-1.324215
0.422732,1.001658,0.000105
0.423729,-0.000104,-1.144360
0.424726,1.392690,0.000666
0.425723,0.000046,0.057464
0.426720,0.512397,0.000799
0.427717,0.000316,1.214227
0.428714,-0.850398,0.000260
0.429711,0.000502,1.270120
0.430708,-1.421664,0.000472
0.431705,0.000473,0.164247
0.432702,-0.691596,0.000456
0.433699,0.000112,-1.105297
0.434696,0.652340,0.000527
0.435693,0.000129,-1.341289
0.436690,1.415688,0.000211
0.437687,0.000464,-0.363567
0.438684,0.887795,0.000536
0.439681,-0.000489,0.940378
