time (s), ch0 acceleration (g), ch1 acceleration (g)
0.000000,-0.107955,0.000189
0.000997,0.000384,-0.120680
0.001994,-0.110560,0.000833
0.002991,0.000655,-0.125453
0.003988,-0.112546,-0.000018
0.004985,0.000776,-0.126853
0.005982,-0.110346,-0.000518
0.006979,-0.000075,-0.120290
0.007976,-0.110665,-0.000302
0.008973,0.000448,-0.123618
0.009970,-0.114559,0.000474
0.010967,0.000444,-0.124470
0.011964,-0.113886,0.000307
0.012961,0.000822,-0.119148
0.013958,-0.114159,-0.000062
0.014955,0.000059,-0.117431
0.015952,-0.115712,0.000339
0.016949,-0.000072,-0.119177
0.017946,-0.116189,0.000377
0.018943,0.000494,-0.121333
0.019940,-0.113396,0.000205
0.020937,0.000192,-0.122521
0.021934,-0.113906,0.000974
0.022931,0.000486,-0.122071
0.023928,-0.114241,-0.000066
0.024925,0.000485,-0.124820
0.025922,-0.109746,-0.000145
0.026919,0.000552,-0.121129
0.027916,-0.108800,-0.000028
0.028913,0.000290,-0.119105
0.029910,-0.109308,0.001032
0.030907,0.000161,-0.119835
0.031904,-0.109474,0.000263
0.032901,0.000415,-0.122218
0.033898,-0.107837,0.000504
0.034895,0.000009,-0.130179
0.035892,-0.104180,0.000535
0.036889,0.001122,-0.132471
0.037886,-0.102468,0.000182
0.038883,0.000346,-0.127949
0.039880,-0.102254,0.000482
0.040877,-0.000321,-0.130110
0.041874,-0.101292,-0.000084
0.042871,0.000813,-0.131719
0.043868,-0.100355,0.000550
0.044865,0.000484,-0.135708
0.045862,-0.103042,0.000229
0.046859,0.000952,-0.137496
0.047856,-0.103052,0.000992
0.048853,0.001188,-0.138559
0.049850,-0.101701,0.000085
0.050847,0.000667,-0.144170
0.051844,-0.102240,0.000422
0.052841,0.000542,-0.143157
0.053838,-0.103412,0.000544
0.054835,0.000330,-0.139756
0.055833,-0.108278,-0.000100
0.056830,0.000005,-0.140683
0.057827,-0.105021,0.000045
0.058824,0.000031,-0.144799
0.059821,-0.104809,0.000777
0.060818,0.000407,-0.144234
0.061815,-0.108575,0.000865
0.062812,0.000532,-0.143915
0.063809,-0.110516,0.000154
0.064806,0.000719,-0.146636
0.065803,-0.111010,-0.000066
0.066800,-0.000123,-0.150466
0.067797,-0.114496,0.000603
0.068794,0.000951,-0.152351
0.069791,-0.118811,0.000972
0.070788,0.000891,-0.151035
0.071785,-0.118493,0.001336
0.072782,-0.000258,-0.145519
0.073779,-0.118661,0.000977
0.074776,0.001114,-0.142629
0.075773,-0.119978,0.000943
0.076770,0.001167,-0.141734
0.077767,-0.114973,-0.000332
0.078764,0.001272,-0.140225
0.079761,-0.116048,0.000429
0.080758,0.000608,-0.135895
0.081755,-0.122989,0.000661
0.082752,0.000931,-0.133055
0.083749,-0.126577,0.000228
0.084746,0.000462,-0.129792
0.085743,-0.125292,0.000247
0.086740,0.000259,-0.125054
0.087737,-0.123051,-0.000078
0.088734,0.000928,-0.123388
0.089731,-0.122575,0.000932
0.090728,0.000129,-0.121154
0.091725,-0.120647,0.000157
0.092722,0.000124,-0.122039
0.093719,-0.123197,0.000669
0.094716,-0.000003,-0.120204
0.095713,-0.127674,0.000454
0.096710,0.000079,-0.118532
0.097707,-0.127849,0.000987
0.098704,-0.000190,-0.121522
0.099701,-0.123810,0.000084
0.100698,0.000520,-0.122371
0.101695,-0.120495,0.000392
0.102692,0.000136,-0.123663
0.103689,-0.118868,0.000224
0.104686,-0.127544,-0.261215
0.105683,-0.000024,0.000580
0.106680,-0.127387,-0.261204
0.107677,0.000881,0.001036
0.108674,-0.126857,-0.259428
0.109671,0.000704,0.000622
0.110668,-0.131437,-0.253519
0.111665,0.000531,0.000942
0.112662,-0.141744,-0.251267
0.113659,0.000779,-0.000337
0.114656,-0.154104,-0.253318
0.115653,0.000892,0.000376
0.116650,-0.164170,-0.252688
0.117647,0.000528,0.001132
0.118644,-0.167954,-0.250340
0.119641,0.000236,0.000521
0.120638,-0.173966,-0.251279
