time (s), ch0 acceleration (g), ch1 acceleration (g)
0.000000,-1.369859,1.329536
0.000997,0.000178,-0.000466
0.001994,-0.470662,1.158966
0.002991,0.000792,-0.000130
0.003988,0.855411,-0.070961
0.004985,0.000208,0.000289
0.005982,1.413024,-1.241878
0.006979,-0.000112,0.000192
0.007976,0.678355,-1.258347
0.008973,0.000515,-0.000200
0.009970,-0.684253,-0.142807
0.010967,0.000326,-0.000178
0.011964,-1.413757,1.108981
0.012961,-0.000387,-0.000183
0.013958,-0.845224,1.353267
0.014955,0.000267,0.000489
0.015952,0.480297,0.359983
0.016949,-0.000060,0.000344
0.017946,1.382634,-0.971162
0.018943,0.000075,-0.000776
0.019940,1.020513,-1.398888
0.020937,-0.000127,-0.000145
0.021934,-0.278130,-0.554109
0.022931,0.000333,0.000123
0.023928,-1.326253,0.789396
0.024925,0.000530,-0.000455
0.025922,-1.145861,1.423533
0.026919,0.000363,0.000312
0.027916,0.062302,0.755202
0.028913,0.000354,-0.000354
0.029910,1.226199,-0.609317
0.030907,0.000048,-0.000269
0.031904,1.273140,-1.409656
0.032901,-0.000263,0.000083
0.033898,0.154519,-0.913292
0.034895,0.000532,0.000153
0.035892,-1.114165,0.399715
0.036889,0.000440,0.000748
0.037886,-1.347885,1.361805
0.038883,-0.000568,-0.000209
0.039880,-0.362517,1.079129
0.040877,0.000267,-0.000275
0.041874,0.954796,-0.192017
0.042871,0.000247,0.000310
0.043868,1.409877,-1.291165
0.044865,-0.000055,-0.000254
0.045862,0.575427,-1.192029
0.046859,0.000751,-0.000003
0.047856,-0.792504,-0.022418
0.048853,0.000340,-0.000091
0.049850,-1.426671,1.176848
0.050847,0.000839,-0.000161
0.051844,-0.756027,1.305638
0.052841,0.000544,0.000628
0.053838,0.593584,0.241336
0.054835,0.000454,0.000131
0.055833,1.417051,-1.051675
0.056830,0.000262,0.000456
0.057827,0.944393,-1.365052
0.058824,0.000094,0.000043
0.059821,-0.393900,-0.440929
0.060818,0.000411,0.000397
0.061815,-1.372342,0.882594
0.062812,0.000291,-0.000048
0.063809,-1.083089,1.410584
0.064806,0.000399,0.000284
0.065803,0.177082,0.647486
0.066800,0.000414,0.000301
0.067797,1.287497,-0.715505
0.068794,0.000698,-0.000050
0.069791,1.223145,-1.415096
0.070788,-0.000002,0.000426
0.071785,0.040629,-0.816323
0.072782,0.000366,0.000349
0.073779,-1.186821,0.513797
0.074776,0.000625,-0.000258
0.075773,-1.311359,1.389846
0.076770,0.000481,0.000918
0.077767,-0.253281,0.994258
0.078764,0.000131,0.000079
0.079761,1.039242,-0.314301
0.080758,-0.000005,0.000807
0.081755,1.389894,-1.337174
0.082752,0.000327,0.000627
0.083749,0.470002,-1.121514
0.084746,0.000602,0.000835
0.085743,-0.887133,0.099913
0.086740,0.000459,0.000105
0.087737,-1.420233,1.242506
0.088734,-0.000160,-0.000319
0.089731,-0.658345,1.252545
0.090728,0.000532,0.000330
0.091725,0.693789,0.116544
0.092722,0.000516,0.000682
0.093719,1.426231,-1.134416
0.094716,0.000472,0.000460
0.095713,0.854708,-1.330526
0.096710,0.000743,0.000552
0.097707,-0.501664,-0.323556
0.098704,0.000066,0.000368
0.099701,-1.396705,0.981199
0.100698,0.000200,0.001031
0.101695,-1.004749,1.399005
0.102692,-0.000591,0.000517
0.103689,0.286391,0.537009
0.104686,0.000448,-0.000191
0.105683,-0.824598,1.280885
0.106680,0.000164,-0.000481
0.107677,-1.421948,0.197553
0.108674,0.000154,-0.000424
0.109671,-0.719912,-1.073214
0.110668,0.000357,0.000215
0.111665,0.628845,-1.343090
0.112662,0.000244,0.000179
0.113659,1.418938,-0.396524
0.114656,0.000063,0.000054
0.115653,0.911398,0.910723
0.116650,0.000069,0.000245
0.117647,-0.433599,1.394666
0.118644,0.000408,0.000333
