time (s), ch0 acceleration (g), ch1 acceleration (g)
0.000000,-0.069359,0.022139
0.000997,0.004272,0.001836
0.001994,-0.069160,0.023016
0.002991,0.004497,0.001579
0.003988,-0.063494,0.023175
0.004985,0.004715,0.002632
0.005982,-0.054654,0.022228
0.006979,0.004485,0.001836
0.007976,-0.042235,0.020442
0.008973,0.003976,0.001767
0.009970,-0.029168,0.016383
0.010967,0.004206,0.002093
0.011964,-0.015475,0.011246
0.012961,0.004673,0.001957
0.013958,-0.003042,0.005549
0.014955,0.005095,0.002726
0.015952,0.008532,-0.000340
0.016949,0.004107,0.002186
0.017946,0.019323,-0.005704
0.018943,0.004676,0.001834
0.019940,0.028185,-0.011254
0.020937,0.004112,0.001573
0.021934,0.037303,-0.016874
0.022931,0.004171,0.001845
0.023928,0.044201,-0.022751
0.024925,0.004245,0.002261
0.025922,0.048906,-0.028609
0.026919,0.003837,0.001874
0.027916,0.052667,-0.034671
0.028913,0.004359,0.001172
0.029910,0.054617,-0.040686
0.030907,0.003877,0.001890
0.031904,0.056735,-0.046605
0.032901,0.004339,0.001951
0.033898,0.060686,-0.051815
0.034895,0.003641,0.002125
0.035892,0.063306,-0.055974
0.036889,0.003263,0.001963
0.037886,0.064221,-0.059794
0.038883,0.003825,0.001971
0.039880,0.064130,-0.062461
0.040877,0.003835,0.001723
0.041874,0.062691,-0.064551
0.042871,0.004053,0.001963
0.043868,0.062133,-0.066428
0.044865,0.003276,0.001930
0.045862,0.061864,-0.067627
0.046859,0.003891,0.002202
0.047856,0.060807,-0.068483
0.048853,0.003548,0.001634
0.049850,0.060674,-0.069031
0.050847,0.003544,0.002138
0.051844,0.063599,-0.069376
0.052841,0.003544,0.002186
0.053838,0.066511,-0.069459
0.054835,0.003438,0.001962
0.055833,0.069588,-0.069551
0.056830,0.002952,0.001672
0.057827,0.071775,-0.069517
0.058824,0.003446,0.001877
0.059821,0.073347,-0.069046
0.060818,0.003827,0.002029
0.061815,0.077600,-0.068630
0.062812,0.002053,0.001503
0.063809,0.082739,-0.068244
0.064806,0.003160,0.001567
0.065803,0.087728,-0.067922
0.066800,0.003083,0.001734
0.067797,0.089702,-0.067434
0.068794,0.003146,0.001745
0.069791,0.090222,-0.066933
0.070788,0.003301,0.001050
0.071785,0.089019,-0.066600
0.072782,0.003234,0.001812
0.073779,0.086732,-0.066083
0.074776,0.003418,0.001891
0.075773,0.082759,-0.065928
0.076770,0.002859,0.001672
0.077767,0.078795,-0.065237
0.078764,0.002090,0.001180
0.079761,0.075012,-0.064256
0.080758,0.002527,0.000952
0.081755,0.070073,-0.063189
0.082752,0.002587,0.001416
0.083749,0.064615,-0.061929
0.084746,0.002792,0.001382
0.085743,0.058082,-0.059972
0.086740,0.002551,0.001156
0.087737,0.050819,-0.057376
0.088734,0.002547,0.001510
0.089731,0.043617,-0.054380
0.090728,0.002780,0.001877
0.091725,0.037288,-0.051508
0.092722,0.001891,0.000850
0.093719,0.032603,-0.047628
0.094716,0.002615,0.001390
0.095713,0.029195,-0.044156
0.096710,0.002470,0.001265
0.097707,0.026072,-0.042241
0.098704,0.003562,0.001040
0.099701,0.023693,-0.040503
0.100698,0.002310,0.001314
0.101695,0.021950,-0.038077
0.102692,0.003121,0.001134
0.103689,0.021657,-0.035214
0.104686,0.003011,0.001196
0.105683,-0.031947,-0.021564
0.106680,0.000644,0.001081
0.107677,-0.027886,-0.025370
0.108674,0.000811,0.000118
0.109671,-0.023535,-0.028938
0.110668,0.000919,0.000211
0.111665,-0.018904,-0.032224
0.112662,0.001043,0.000800
0.113659,-0.014546,-0.035139
0.114656,0.000506,0.000631
0.115653,-0.010268,-0.037749
0.116650,0.000889,0.000102
0.117647,-0.005996,-0.040069
0.118644,0.001590,0.000660
0.119641,-0.002151,-0.041881
0.120638,0.000980,0.000653
0.121635,0.001269,-0.043342
0.122632,0.000838,0.000307
0.123629,0.004371,-0.044333
0.124626,0.001461,0.000796
0.125623,0.007099,-0.044895
0.126620,0.001248,0.001063
0.127617,0.009275,-0.044981
0.128614,0.001158,0.001073
0.129611,0.011185,-0.044748
0.130608,0.000673,-0.000077
0.131605,0.012438,-0.044109
0.132602,0.001780,0.000782
0.133599,0.013007,-0.043305
0.134596,0.000922,0.000588
0.135593,0.013442,-0.042540
0.136590,0.001451,0.000413
0.137587,0.013559,-0.041766
0.138584,0.001132,0.000714
0.139581,0.013338,-0.040996
0.140578,0.001221,0.000451
0.141575,0.012948,-0.040222
0.142572,0.000796,0.000611
0.143569,0.012800,-0.039580
0.144566,0.001079,0.000223
0.145563,0.012506,-0.039182
0.146560,0.000383,0.000313
0.147557,0.011387,-0.039116
0.148554,0.000710,-0.000354
0.149551,0.010654,-0.039156
0.150548,0.000498,0.000295
0.151545,0.009995,-0.039315
0.152542,0.000445,0.000231
0.153539,0.009442,-0.039461
0.154536,0.000636,0.000677
0.155533,0.009147,-0.039768
0.156530,0.000840,0.000653
0.157527,0.008908,-0.040070
0.158524,0.000738,0.000179
0.159521,0.008689,-0.040601
0.160518,0.001227,0.000363
0.161515,0.008625,-0.040821
0.162512,0.000338,0.000374
0.163509,0.008744,-0.041041
0.164506,0.000768,0.000520
0.165503,0.008654,-0.040859
0.166500,0.001175,0.000527
0.167498,0.008681,-0.040582
0.168495,0.000481,0.000475
0.169492,0.008773,-0.040022
0.170489,0.000620,0.000377
0.171486,0.008928,-0.039091
0.172483,0.000555,0.000054
0.173480,0.008692,-0.038046
0.174477,0.000586,0.000144
0.175474,0.008454,-0.036832
0.176471,0.000768,0.000302
0.177468,0.008141,-0.035428
0.178465,0.000038,-0.000342
0.179462,0.007975,-0.033729
0.180459,0.000665,-0.000532
0.181456,0.007621,-0.032222
0.182453,0.001317,-0.000506
0.183450,0.006955,-0.030168
0.184447,0.000941,-0.000472
0.185444,0.006154,-0.028338
0.186441,0.001142,-0.000812
0.187438,0.005362,-0.025784
0.188435,0.000412,-0.000517
0.189432,0.004355,-0.023552
0.190429,0.000816,-0.000709
0.191426,0.003173,-0.020582
0.192423,0.000957,-0.000365
0.193420,0.001927,-0.017492
0.194417,0.000812,-0.000841
0.195414,0.000743,-0.014604
0.196411,0.001061,-0.000646
0.197408,-0.000674,-0.012161
0.198405,0.000178,-0.000980
0.199402,-0.003079,-0.009554
0.200399,0.000655,-0.000765
0.201396,-0.005314,-0.007424
0.202393,0.000636,-0.000147
0.203390,-0.008310,-0.004946
0.204387,0.000714,-0.000715
0.205384,-0.011707,-0.003150
0.206381,0.000275,-0.002149
0.207378,-0.015227,-0.001696
0.208375,0.000363,-0.002787
0.209372,-0.018442,-0.000873
0.210369,0.000943,-0.002036
0.211366,0.000614,0.000577
0.212363,-0.002377,0.063821
0.213360,0.002050,0.000096
0.214357,-0.004959,0.051814
0.215354,0.002386,0.000643
0.216351,-0.004649,0.038747
0.217348,0.003283,0.000256
0.218345,-0.004254,0.025928
0.219342,0.004110,0.000693
0.220339,-0.004238,0.014820
0.221336,0.004846,0.000852
0.222333,-0.004129,0.000632
0.223330,0.005020,0.000815
0.224327,-0.004044,-0.012388
0.225324,0.005494,0.000535
0.226321,-0.004100,-0.023592
0.227318,0.006068,0.000417
0.228315,-0.003568,-0.036276
0.229312,0.006550,0.000922
0.230309,-0.002422,-0.048891
0.231306,0.007226,0.000580
0.232303,-0.000794,-0.060167
0.233300,0.007865,0.000912
0.234297,-0.000211,-0.068086
0.235294,0.008563,0.000365
0.236291,-0.000133,-0.073731
0.237288,0.009586,0.000453
0.238285,-0.000183,-0.077435
0.239282,0.010643,0.001091
0.240279,-0.000315,-0.081026
0.241276,0.011738,0.001024
0.242273,-0.000218,-0.082730
0.243270,0.013097,0.000018
0.244267,-0.000048,-0.083430
0.245264,0.014384,0.000180
0.246261,0.000298,-0.083893
0.247258,0.016034,0.001352
0.248255,0.000357,-0.082125
0.249252,0.017721,0.001326
0.250249,0.000060,-0.079696
0.251246,0.019192,0.000672
0.252243,0.000378,-0.078107
0.253240,0.020694,0.001359
0.254237,0.000116,-0.074723
0.255234,0.022142,0.001927
0.256231,0.000317,-0.069647
0.257228,0.023387,0.000616
0.258225,0.000925,-0.066580
0.259222,0.024245,0.000922
0.260219,0.000201,-0.061347
0.261216,0.025027,0.000373
0.262213,0.000439,-0.053496
0.263210,0.025331,0.001802
0.264207,0.000173,-0.045946
0.265204,0.024456,0.001148
0.266201,0.000782,-0.038970
0.267198,0.023094,0.000948
0.268195,0.000208,-0.033771
0.269192,0.021771,0.001360
0.270189,-0.000082,-0.028817
0.271186,0.019615,0.001204
0.272183,0.000480,-0.021522
0.273180,0.017638,0.001260
0.274177,0.000313,-0.016408
0.275174,0.015283,0.000947
0.276171,0.000502,-0.013163
0.277168,0.013253,0.001034
0.278166,0.000730,-0.008808
0.279163,0.011196,0.000983
0.280160,0.001062,-0.008772
0.281157,0.009134,0.000725
0.282154,0.001191,-0.008373
0.283151,0.007834,0.001252
0.284148,0.000420,-0.008924
0.285145,0.007321,0.001164
0.286142,0.000819,-0.010618
0.287139,0.006817,0.000250
0.288136,-0.000022,-0.015052
0.289133,0.007088,0.000813
0.290130,0.000781,-0.022109
0.291127,0.006670,0.000591
0.292124,0.000544,-0.027280
0.293121,0.006417,0.001271
0.294118,0.000254,-0.033731
0.295115,0.008031,0.000705
0.296112,0.000850,-0.038266
0.297109,0.010372,0.001056
0.298106,0.000797,-0.043658
0.299103,0.010751,0.001063
0.300100,0.001026,-0.064691
0.301097,0.012360,0.000663
0.302094,0.000392,-0.085888
0.303091,0.011788,0.000743
0.304088,0.000899,-0.098804
0.305085,0.012532,-0.000196
0.306082,0.000701,-0.092921
0.307079,0.011598,0.000259
0.308076,0.001014,-0.089667
0.309073,0.019466,0.000892
0.310070,0.000412,-0.094498
0.311067,0.062882,0.000703
0.312064,0.000636,-0.098067
0.313061,0.064665,0.000012
0.314058,-0.000284,-0.102156
0.315055,0.066350,0.000794
0.316052,-0.116787,-0.021178
0.317049,0.000394,-0.000141
0.318046,-0.130240,0.023210
0.319043,0.000487,0.001022
0.320040,-0.117466,0.035178
0.321037,0.000528,0.000555
0.322034,-0.069823,-0.061283
0.323031,0.000724,-0.000134
0.324028,-0.045795,-0.035778
0.325025,0.001429,0.000152
0.326022,-0.004340,0.071434
0.327019,0.001037,-0.000202
0.328016,0.039911,-0.070134
0.329013,0.000700,0.000476
0.330010,0.062628,-0.000813
0.331007,0.000777,0.001234
0.332004,0.106903,-0.010972
0.333001,0.000920,0.001362
0.333998,0.141171,0.114972
0.334995,0.000859,0.000507
